#Frame      Dih_00001    Dih_00002
     463     162.1868    -170.0329
     464     152.5364    -176.2557
     465     170.1320    -169.7575
     466     152.9161    -154.3350
     467     172.6016    -173.0022
     468     154.4644     178.1542
     469     173.0930    -166.2735
     470     168.5952    -148.1323
     471     151.0458    -177.1657
     472     161.7130    -147.4875
     473    -165.1713     -51.0565
     474     173.8033    -156.8679
     475     158.6359    -164.8587
     476     155.6498    -178.7557
     477     160.9578     174.7564
     478     166.2863    -155.7205
     479     168.3937    -144.8286
     480     168.2349    -166.0257
     481     171.7215    -151.0837
     482     164.4335    -175.5492
     483     171.0787    -154.7748
     484     156.9782    -161.5751
     485     162.5722    -170.5259
     486     157.6298    -177.6367
     487     150.5507    -163.2640
     488     163.9912    -148.5660
     489     150.0771     174.7855
     490     156.3191    -169.1438
     491     160.2455    -163.5734
     492     176.3156    -143.3912
     493     154.3391    -174.8716
     494     179.0443    -156.1272
     495     164.6996    -157.1563
     496     142.8213    -171.7244
     497     150.7774    -158.1487
     498     155.8197    -174.0828
     499     151.1096    -164.6981
     500    -173.4330    -148.9411
     501     149.8884    -174.6038
     502     151.0876    -161.3880
     503     167.0014    -149.2888
     504     153.6381    -166.5745
     505     167.5828     169.3861
     506     146.1310    -168.6576
     507    -178.1914    -145.4459
     508     161.8740    -153.4745
     509     157.6774    -174.1146
     510     163.8954     177.1984
     511    -165.9864     -43.8523
     512     167.5523    -171.6643
     513     149.3574    -171.0462
     514     171.6086    -134.0707
     515     170.3947    -155.0441
     516     154.4404    -161.1089
     517     160.8610    -167.7330
     518     175.2022    -152.9945
     519     168.1347    -164.4197
     520     158.8936    -166.8132
     521     161.8706    -154.4064
     522     168.2576    -147.9690
     523     147.5540    -160.2841
     524     165.2818    -156.4565
     525     160.9254    -153.7023
     526     158.4433    -172.0598
     527     165.9786    -154.6691
     528     161.5009    -166.4933
     529     144.7994    -158.2345
     530     161.7895    -162.7374
     531     162.3954    -159.3452
     532     163.4187    -156.0768
     533     155.0813    -144.9048
     534     152.0520     177.2536
     535     174.6483    -153.1015
     536     160.7545     176.6089
     537     174.6830    -167.2350
     538     164.3195     177.6752
     539     156.2006    -178.0769
     540     176.6292    -166.9329
     541     156.4052     176.8247
     542    -175.8956    -160.3727
     543     160.2421     -99.1492
     544     154.5969    -166.3927
     545     148.8563    -165.9176
     546     158.4832    -178.3854
     547     169.3489    -154.5572
     548     145.0649    -149.6937
     549     154.7929     178.1768
     550     165.6853    -163.9259
     551     155.7820    -167.3520
     552     151.5865    -173.8643
     553     147.7296    -160.3009
     554     161.4805     170.0840
     555     169.3764    -145.3737
     556     170.8207    -159.5795
     557     157.7477    -159.0415
     558    -175.3164    -169.8311
     559    -178.4491    -157.6052
     560     164.0629    -153.3072
     561     159.9234    -161.3893
     562     147.8411    -146.6581
     563     175.0903    -165.0388
     564     158.0183    -160.0663
     565     146.8905    -142.9596
     566     149.2284    -168.8568
     567     159.1702     168.2339
     568     167.1796    -150.6373
     569     162.2542    -155.6965
     570     151.1470     170.4137
     571     163.8398    -150.7860
     572     154.0497    -167.0074
     573     158.4935    -164.7599
     574     147.4842    -172.5990
     575     165.6385    -151.5244
     576     161.3138    -156.3968
     577     150.1410    -167.3438
     578     178.0034    -154.5285
     579     160.2289    -165.3208
     580     154.4802    -156.9137
     581     164.5400    -175.7984
     582     155.2405    -169.8980
     583     166.6975    -166.5501
     584     162.0418     161.4663
     585     162.5651    -162.5178
     586     157.9879     159.8513
     587     153.1248    -171.0456
     588     159.5289    -165.5282
     589     170.5795    -176.1301
     590     162.8450    -170.0798
     591     158.5601    -170.2951
     592     175.5470    -143.5288
     593     155.9543    -166.5947
     594     164.2674    -168.6721
     595     157.8634    -168.1208
     596     169.0163     -56.8970
     597     165.6818    -167.7301
     598     167.7226    -176.6822
     599    -166.0831     -86.1650
     600     153.9786    -161.6874
     601     151.4133    -170.2012
     602    -169.2225    -110.3959
     603     167.6916    -169.7065
     604     158.6844    -152.0926
     605     175.1356    -163.2458
     606     163.4682    -156.2710
     607     157.1548    -174.1777
     608     172.8287    -167.1023
     609     153.1668    -165.3678
     610     154.7234    -167.1378
     611     159.2091     171.7459
     612     159.4252    -163.9208
     613     139.6723    -173.8918
     614     162.9359     164.7893
     615     153.6729    -150.0018
     616    -179.3002    -161.2075
     617     171.0325    -164.8717
     618     158.8042    -176.4112
     619     170.2127    -157.7867
     620     149.4082    -172.8953
     621     173.1842    -171.0207
     622     159.4203    -147.5860
     623     173.9856    -179.2824
     624     155.3494    -150.0542
     625     173.7156    -158.2040
     626     152.4502    -156.0319
     627     144.6853     147.2657
     628    -176.3961    -161.9173
     629     164.1089    -149.2571
     630     155.7958    -141.8152
     631     153.5337    -168.1404
     632     146.5655    -179.3321
     633     161.7313     176.0293
     634     166.2118    -169.6199
     635     170.5757    -158.1078
     636     172.0932    -151.0161
     637     159.4460    -156.8314
     638     156.5493     179.7649
     639     151.9809     -65.6993
     640     160.7554     179.2025
     641     174.5166    -123.8983
     642    -176.7328    -136.0043
     643     170.0442    -153.7041
     644     165.1691    -158.6707
     645     147.7421    -154.7552
     646     154.6155    -167.5677
     647     156.7491    -156.3367
     648     155.6924    -134.3879
     649     160.4568    -157.0192
     650     172.9650    -168.9295
     651     160.9337    -169.1886
     652     162.6020    -144.4298
     653     173.7410    -150.3177
     654    -177.3317    -166.4427
     655     165.9093    -107.0198
     656     175.4227    -167.3764
     657     172.6910    -176.9533
     658     148.2439    -177.3547
     659     156.9067    -179.3760
     660     149.7616    -154.0452
     661     177.9206    -152.3048
     662     155.3238    -165.5149
     663     155.2736    -172.6381
     664     167.0996     -65.8306
     665     159.2040     166.2727
     666     163.3374    -168.6835
     667     174.1224    -147.5656
     668     155.8983    -164.8556
     669     165.5780    -168.0742
     670     171.4040    -165.8559
     671     162.0661     177.2382
     672     159.4883    -165.4250
     673     165.1258     -53.7755
     674     153.8507    -163.4180
     675     157.0739    -172.1200
     676     165.8964    -140.7034
     677     177.8917    -158.7596
     678     158.0837    -170.7272
     679     162.3512    -171.2217
     680     169.3896    -171.0337
     681     164.8272    -149.3003
     682     169.5778    -163.6279
     683     159.7433    -177.1417
     684     163.0210    -172.8070
     685     152.9774    -163.0578
     686     149.9494    -163.2003
     687     150.9608    -166.6037
     688     148.3819    -150.4846
     689     165.9980    -177.9943
     690     174.6147    -153.7420
     691     171.2256    -173.9760
     692     148.2437     179.1091
     693     165.3132    -154.2416
     694     158.0040    -156.6833
     695     155.7558    -156.5657
     696     167.5527    -165.1157
     697     173.0926    -140.1201
     698     169.3260     177.4634
     699     161.4726    -151.0771
     700     145.1797     173.8810
     701     163.0493    -174.1670
     702     148.0813    -176.8598
     703     162.7198    -161.7794
     704     170.6171    -147.3205
     705     168.8157    -140.5969
     706     162.0796    -159.6099
     707     167.3323    -176.7689
     708     162.8545    -163.6062
     709     163.3858    -176.3157
     710     175.9637    -153.1301
     711    -175.2420    -121.9296
     712     170.7686    -168.6469
     713     166.5844     178.4053
     714     179.5653    -150.8858
     715     144.8503    -172.9505
     716     159.3453    -168.7220
     717     151.8312     177.9026
     718     157.1902     176.5772
     719     176.2750    -163.6322
     720     152.8398    -178.3323
     721     161.8677     178.8700
     722     175.7734    -172.2073
     723     175.1444    -168.2838
     724     172.5067     178.6036
     725     162.4113    -159.7249
     726     172.5840    -173.3608
     727     169.0244    -150.2184
     728     161.0211    -171.6892
     729     173.4885    -163.2930
     730     165.0717    -162.7111
     731     157.9948    -160.3069
     732     163.8141    -147.9838
     733     155.0272     179.5149
     734     166.5583    -170.0842
     735     162.1977    -160.7577
     736     179.4937    -152.2062
     737     179.9451    -158.9163
     738     161.6669    -169.6454
     739     171.6620    -172.1479
     740     164.4901    -162.6376
     741     153.0680    -150.1932
     742     172.5081    -143.8244
     743     172.6102    -142.0058
     744     151.9493    -161.4420
     745    -175.6124    -154.6041
     746     162.3427    -166.8458
     747     170.4126    -167.1344
     748     163.9926    -164.6733
     749     165.1841     174.1522
     750     170.8044    -163.4570
     751     168.1562    -154.4641
     752     156.1953     179.1183
     753     171.9840     -67.8629
     754     161.5812    -161.8707
     755     165.0128    -140.4089
     756    -176.4418    -154.5232
     757     161.5555    -171.0720
     758     148.4948     179.3925
     759     156.5488    -163.7090
     760     154.5334    -166.7988
     761     150.4430    -165.2096
     762     162.7678    -160.0078
     763     170.3415    -170.7004
     764     155.3281    -161.3056
     765     147.2443    -178.9247
     766     146.7871    -170.7250
     767     154.5513     173.7539
     768    -172.3972    -120.9158
     769     170.3024    -139.7688
     770     155.6824    -162.8943
     771     159.3334    -160.3231
     772     158.2720    -149.2049
     773     159.5930    -170.8372
     774     175.5948    -148.9360
